id,name,category,diocese,address,region,lat,lng
해미순교자국제성지,해미순교자국제성지,성지,대전교구,충청남도 서산시 해미면 성지1로 13,충청남,36.7128749230616,126.537747173576
행정-공소-옹기마을-신앙촌,행정 공소 (옹기마을 신앙촌),순례지,춘천교구,강원특별자치도 강릉시 연곡면 행정2길 14,강원,37.8539357293386,128.78899078314
행주-성당,행주 성당,순례지,의정부교구,경기도 고양시 덕양구 행주산성로144번길 50,경기,37.6022511776908,126.816790406812
형조-터,형조 터,순교사적지,서울대교구,서울특별시 종로구 세종대로 175 (세종로),서울,37.5718478584908,126.976168275947
홍주순교성지,홍주순교성지,성지,대전교구,충청남도 홍성군 홍성읍 조양로 108 (오관리),충청남,36.6024648947856,126.661789056765
홍천-성당-등록문화재-162호,홍천 성당 (등록문화재 162호),순례지,춘천교구,강원특별자치도 홍천군 홍천읍 마지기로 54,강원,37.6949532669564,127.886956864961
광암이벽요한세례자-진묘터와-생가터,광암이벽요한세례자 진묘터와 생가터,순교사적지,춘천교구,경기도 포천시 화현면 화동로477번길 31,경기,37.9080675044421,127.305071299366
황경한-묘소,황경한 묘소,순례지,제주교구,제주특별자치도 제주시 추자면 신양리 산20-1,제주,33.9490277462768,126.340062809851
황무실성지,황무실성지,순교사적지,대전교구,충청남도 당진시 합덕읍 석우리 1013,충청남,36.7822579458991,126.737624062379
황사영-알렉시오-순교자-묘,황사영 알렉시오 순교자 묘,순교사적지,의정부교구,경기도 양주시 장흥면 가마골로 270,경기,37.7419228608111,126.976797543211
황사평-성지,황사평 성지,순례지,제주교구,제주특별자치도 제주시 기와5길 117-22,제주,33.4904959208983,126.559877172184
황새바위순교성지,황새바위순교성지,성지,대전교구,충청남도 공주시 왕릉로 118,충청남,36.4629464253685,127.119388572791
